_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
007.6087;-48.2150;999.0000;+99.0000;  2726;00 30 26.1;-48 12 54; 5.69; 0.35;  F2V
007.8554;+66.5194;999.0000;+99.0000;  2729;00 31 25.3;+66 31 10; 6.18;-0.10;  B6V
007.8567;+33.5817;999.0000;+99.0000;  2767;00 31 25.6;+33 34 54; 5.87; 1.14;  K1III
007.9433;+54.5222;999.0000;+99.0000;  2772;00 31 46.4;+54 31 20; 4.73;-0.10;  B8Vn
007.9217;+52.8394;999.0000;+99.0000;  2774;00 31 41.2;+52 50 22; 5.60; 1.15;  K2III
007.8542;-48.8036;999.0000;+99.0000;  2834;00 31 25.0;-48 48 13; 4.77; 0.02;  A0V
007.8862;-62.9581;999.0000;+99.0000;  2884;00 31 32.7;-62 57 29; 4.37;-0.07;  B9V
007.8900;-62.9658;999.0000;+99.0000;  2885;00 31 33.6;-62 57 57; 4.54; 0.15;  A2V+A7V
008.1117;+43.4947;999.0000;+99.0000;  2888;00 32 26.8;+43 29 41; 6.70;-0.01;  A1Vn
008.3304;+70.9817;999.0000;+99.0000;  2904;00 33 19.3;+70 58 54; 6.42;-0.01;  A0Vn
008.2500;+62.9317;999.0000;+99.0000;  2905;00 33 00.0;+62 55 54; 4.16; 0.14;  B1Ia
008.1479;+20.2944;999.0000;+99.0000;  2910;00 32 35.5;+20 17 40; 5.38; 1.08;  K0III
008.0992; +6.9556;999.0000;+99.0000;  2913;00 32 23.8;+06 57 20; 5.67; 0.00;  B9.5V
008.1437;+27.5806;999.0000;+99.0000;  2924;00 32 34.5;+27 34 50; 6.67;     ;  A2IV
008.2046;+28.2803;999.0000;+99.0000;  2942;00 32 49.1;+28 16 49; 6.30; 1.00;  K0III
008.2933;+54.8950;999.0000;+99.0000;  2952;00 33 10.4;+54 53 42; 5.93; 1.04;  K0III
008.1825;-63.0311;999.0000;+99.0000;  3003;00 32 43.8;-63 01 52; 5.09; 0.04;  A0V
008.6037;+66.7503;999.0000;+99.0000;  3038;00 34 24.9;+66 45 01; 6.48;-0.08;  B9III
008.4212;-29.5583;999.0000;+99.0000;  3059;00 33 41.1;-29 33 30; 5.55; 1.27;  K2III
008.3471;-71.2661;999.0000;+99.0000;  3112;00 33 23.3;-71 15 58; 6.13; 0.23;  A7IV
008.6158;-52.3731;999.0000;+99.0000;  3158;00 34 27.8;-52 22 23; 5.57; 0.47;  F3IV-V
008.7304;+13.3711;999.0000;+99.0000;  3166;00 34 55.3;+13 22 16; 6.40;     ;  K0
