_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
163.9350;+33.5069;999.0000;+99.0000; 94600;10 55 44.4;+33 30 25; 5.03; 1.10;  K1III
163.9033;+24.7497;999.0000;+99.0000; 94601;10 55 36.8;+24 44 59; 4.50; 0.01;  A1V
163.9054;+24.7489;999.0000;+99.0000; 94602;10 55 37.3;+24 44 56; 6.30;     ;  A2Vn
163.7983;-20.6650;999.0000;+99.0000; 94619;10 55 11.6;-20 39 54; 6.44; 1.10;  K0
163.4250;-70.7203;999.0000;+99.0000; 94650;10 53 42.0;-70 43 13; 5.99;-0.02;  B6V
163.7542;-42.2511;999.0000;+99.0000; 94660;10 55 01.0;-42 15 04; 6.11;-0.08;  A0pSiCr
164.0604;+42.0083;999.0000;+99.0000; 94669;10 56 14.5;+42 00 30; 6.03; 1.13;  K2III
163.9267; +0.7369;999.0000;+99.0000; 94672;10 55 42.4;+00 44 13; 5.91; 0.42;  F2/3III/V
163.6233;-61.8267;999.0000;+99.0000; 94683;10 54 29.6;-61 49 36; 5.93; 1.75;  K4III
164.0062; +6.1853;999.0000;+99.0000; 94705;10 56 01.5;+06 11 07; 5.81; 1.45;  M5.5III
163.1146;-79.5594;999.0000;+99.0000; 94717;10 52 27.5;-79 33 34; 6.33; 1.46;  K2II-III
164.0704;+22.3517;999.0000;+99.0000; 94720;10 56 16.9;+22 21 06; 6.14; 1.55;  K2
164.1433;+25.5000;999.0000;+99.0000; 94747;10 56 34.4;+25 30 00; 6.35; 1.03;  K0
163.8217;-60.5169;999.0000;+99.0000; 94776;10 55 17.2;-60 31 01; 5.92; 1.08;  K0III
164.9867;+77.7700;999.0000;+99.0000; 94860;10 59 56.8;+77 46 12; 6.20; 0.97;  G9III
164.1796;-37.1378;999.0000;+99.0000; 94890;10 56 43.1;-37 08 16; 4.60; 1.03;  K1III
164.2829;-50.7650;999.0000;+99.0000; 94985;10 57 07.9;-50 45 54; 5.91; 0.18;  A4V
164.8246;+51.8822;999.0000;+99.0000; 95057;10 59 17.9;+51 52 56; 6.17; 1.38;  K0
164.4517;-59.7319;999.0000;+99.0000; 95109;10 57 48.4;-59 43 55; 6.11; 1.10;  G3Ia
164.8667;+40.4303;999.0000;+99.0000; 95128;10 59 28.0;+40 25 49; 5.05; 0.61;  G1-VFe-0.5
164.8867;+36.0931;999.0000;+99.0000; 95129;10 59 32.8;+36 05 35; 6.00; 1.59;  M2III
164.3154;-75.0997;999.0000;+99.0000; 95208;10 57 15.7;-75 05 59; 6.13; 1.53;  K1II
165.0612;+45.5261;999.0000;+99.0000; 95212;11 00 14.7;+45 31 34; 5.47; 1.47;  K5III
164.9212;+11.7058;999.0000;+99.0000; 95216;10 59 41.1;+11 42 21; 6.55; 0.43;  F5V
164.8079;-33.7372;999.0000;+99.0000; 95221;10 59 13.9;-33 44 14; 5.71; 0.37;  F2V
165.1067;+51.5019;999.0000;+99.0000; 95233;11 00 25.6;+51 30 07; 6.43;     ;  G9III
164.8787;-16.3539;999.0000;+99.0000; 95234;10 59 30.9;-16 21 14; 5.89; 1.63;  M2III
165.0858;+42.9114;999.0000;+99.0000; 95241;11 00 20.6;+42 54 41; 6.02; 0.57;  F9V
165.2742;+63.4211;999.0000;+99.0000; 95256;11 01 05.8;+63 25 16; 6.39; 0.16;  A2Vm
164.9437;-18.2989;999.0000;+99.0000; 95272;10 59 46.5;-18 17 56; 4.08; 1.09;  K0+III
165.2100;+39.2122;999.0000;+99.0000; 95310;11 00 50.4;+39 12 44; 5.08; 0.24;  F0V s
165.0483;-14.0833;999.0000;+99.0000; 95314;11 00 11.6;-14 05 00; 5.88; 1.50;  K5III
164.8083;-61.3203;999.0000;+99.0000; 95324;10 59 14.0;-61 19 13; 6.16;-0.06;  B8IV
165.1400; +3.6175;999.0000;+99.0000; 95345;11 00 33.6;+03 37 03; 4.84; 1.16;  K1IIICN-0.5
164.9975;-43.8072;999.0000;+99.0000; 95347;10 59 59.4;-43 48 26; 5.81;-0.08;  B8-9V
165.0387;-42.2258;999.0000;+99.0000; 95370;11 00 09.3;-42 13 33; 4.39; 0.11;  A3IV
165.1867; +6.1014;999.0000;+99.0000; 95382;11 00 44.8;+06 06 05; 4.99; 0.16;  A5III
165.4604;+56.3825;999.0000;+99.0000; 95418;11 01 50.5;+56 22 57; 2.37;-0.02;  A1V
165.0358;-51.8178;999.0000;+99.0000; 95429;11 00 08.6;-51 49 04; 6.15; 0.18;  A3III-IV
165.2383;-15.7928;999.0000;+99.0000; 95441;11 00 57.2;-15 47 34; 6.34; 1.18;  K0
165.1700;-31.8394;999.0000;+99.0000; 95456;11 00 40.8;-31 50 22; 6.07; 0.52;  F8V
165.4571; -2.4847;999.0000;+99.0000; 95578;11 01 49.7;-02 29 05; 4.74; 1.62;  M0IIIBa0.2
165.5825;+20.1797;999.0000;+99.0000; 95608;11 02 19.8;+20 10 47; 4.42; 0.05;  A1m
165.9321;+61.7508;999.0000;+99.0000; 95689;11 03 43.7;+61 45 03; 1.79; 1.07;  K0IIIa
165.6017;-26.8314;999.0000;+99.0000; 95698;11 02 24.4;-26 49 53; 6.23; 0.31;  F1V
165.8108; -0.7525;999.0000;+99.0000; 95771;11 03 14.6;-00 45 09; 6.14; 0.26;  F0V
164.8038;-81.5561;999.0000;+99.0000; 95788;10 59 12.9;-81 33 22; 6.71; 0.55;  F7IV
165.8121;-11.3036;999.0000;+99.0000; 95808;11 03 14.9;-11 18 13; 5.50; 0.94;  G7-III
165.9025; -0.0008;999.0000;+99.0000; 95849;11 03 36.6;-00 00 03; 5.95; 1.22;  K3III
165.8171;-31.9608;999.0000;+99.0000; 95857;11 03 16.1;-31 57 39; 6.46; 1.62;  M1III
165.9021;-13.4344;999.0000;+99.0000; 95870;11 03 36.5;-13 26 04; 6.34; 0.88;  G5
166.1300;+38.2414;999.0000;+99.0000; 95934;11 04 31.2;+38 14 29; 6.00; 0.16;  A3III-IV
166.2542; +7.3361;999.0000;+99.0000; 96097;11 05 01.0;+07 20 10; 4.63; 0.33;  F2III-IV
166.1300;-47.6792;999.0000;+99.0000; 96113;11 04 31.2;-47 40 45; 5.67; 0.24;  A8III-IV
164.8075;-84.5939;999.0000;+99.0000; 96124;10 59 13.8;-84 35 38; 6.19; 0.11;  A1V
166.2258;-35.8047;999.0000;+99.0000; 96146;11 04 54.2;-35 48 17; 5.43; 0.03;  A2V
166.3329;-27.2936;999.0000;+99.0000; 96202;11 05 19.9;-27 17 37; 4.94; 0.36;  F3IV
166.3917;-11.0889;999.0000;+99.0000; 96220;11 05 34.0;-11 05 20; 6.09; 0.30;  F0Vn
166.2675;-49.3925;999.0000;+99.0000; 96224;11 05 04.2;-49 23 33; 6.13;-0.02;  B9.5V
166.4900;-27.2878;999.0000;+99.0000; 96314;11 05 57.6;-27 17 16; 5.71;-0.06;  A0IV
166.5242;-51.2125;999.0000;+99.0000; 96407;11 06 05.8;-51 12 45; 6.30; 0.95;  G8III
166.7258; +1.9556;999.0000;+99.0000; 96436;11 06 54.2;+01 57 20; 5.52; 0.97;  G9IIICN-1
166.6612;-28.7278;999.0000;+99.0000; 96441;11 06 38.7;-28 43 40; 6.77; 0.04;  A1V
166.6142;-50.9567;999.0000;+99.0000; 96484;11 06 27.4;-50 57 24; 6.32; 1.16;  K2III
166.9154;+23.3236;999.0000;+99.0000; 96528;11 07 39.7;+23 19 25; 6.46; 0.16;  A5m
166.6221;-58.6753;999.0000;+99.0000; 96544;11 06 29.3;-58 40 31; 6.02; 1.24;  K2II-III
166.7850;-32.5872;999.0000;+99.0000; 96557;11 07 08.4;-32 35 14; 6.59; 0.34;  F1III
166.6350;-62.4242;999.0000;+99.0000; 96566;11 06 32.4;-62 25 27; 4.61; 1.03;  G8III
166.6008;-64.8397;999.0000;+99.0000; 96568;11 06 24.2;-64 50 23; 6.41; 0.12;  A3V
166.8192;-42.6386;999.0000;+99.0000; 96616;11 07 16.6;-42 38 19; 5.15; 0.03;  ApSrCrEu
166.9767;-30.1747;999.0000;+99.0000; 96700;11 07 54.4;-30 10 29; 6.54; 0.60;  G2V
166.7079;-70.8781;999.0000;+99.0000; 96706;11 06 49.9;-70 52 41; 5.57;-0.05;  B2V
167.4162;+67.2103;999.0000;+99.0000; 96707;11 09 39.9;+67 12 37; 6.06; 0.22;  F0pSr
167.0658;-29.9728;999.0000;+99.0000; 96723;11 08 15.8;-29 58 22; 6.49; 0.03;  A1V
167.2046;+24.6583;999.0000;+99.0000; 96738;11 08 49.1;+24 39 30; 5.68; 0.06;  A3IV
167.3296;+36.3094;999.0000;+99.0000; 96813;11 09 19.1;+36 18 34; 5.74; 1.51;  M3.5IIIab
167.1829;-28.0806;999.0000;+99.0000; 96819;11 08 43.9;-28 04 50; 5.44; 0.07;  A1V
167.4158;+44.4986;999.0000;+99.0000; 96833;11 09 39.8;+44 29 55; 3.01; 1.14;  K1III
167.4104;+43.2075;999.0000;+99.0000; 96834;11 09 38.5;+43 12 27; 5.89; 1.57;  M2III
167.1475;-58.9750;999.0000;+99.0000; 96918;11 08 35.4;-58 58 30; 3.91; 1.23;  G40-Ia
167.1417;-61.9472;999.0000;+99.0000; 96919;11 08 34.0;-61 56 50; 5.13; 0.22;  B9Ia
167.4725;-32.3675;999.0000;+99.0000; 97023;11 09 53.4;-32 22 03; 5.81; 0.04;  A2V
168.0458;+68.2719;999.0000;+99.0000; 97138;11 12 11.0;+68 16 19; 6.40;     ;  A3V
167.9321;+14.4003;999.0000;+99.0000; 97244;11 11 43.7;+14 24 01; 6.30; 0.21;  A5V
167.7279;-58.4553;999.0000;+99.0000; 97271;11 10 54.7;-58 27 19; 6.88;-0.08;  B7III
167.9146;-22.8258;999.0000;+99.0000; 97277;11 11 39.5;-22 49 33; 4.48; 0.03;  A2III
168.1854;+54.8942;999.0000;+99.0000; 97302;11 12 44.5;+54 53 39; 6.63;     ;  A4V
168.1342;+35.8136;999.0000;+99.0000; 97334;11 12 32.2;+35 48 49; 6.41; 0.61;  G0V
168.0617;-32.4339;999.0000;+99.0000; 97393;11 12 14.8;-32 26 02; 6.38; 1.70;  M1III
168.1267;-18.5000;999.0000;+99.0000; 97411;11 12 30.4;-18 30 00; 6.13;-0.01;  A0V
168.1442;-21.7492;999.0000;+99.0000; 97428;11 12 34.6;-21 44 57; 6.40; 1.38;  K0
167.8729;-71.4364;999.0000;+99.0000; 97472;11 11 29.5;-71 26 11; 6.35; 1.37;  K2-3III
168.1379;-49.1011;999.0000;+99.0000; 97495;11 12 33.1;-49 06 04; 5.36; 0.18;  A3IV-V
168.4175;+41.0886;999.0000;+99.0000; 97501;11 13 40.2;+41 05 19; 6.33; 1.15;  K2III
168.1500;-60.3175;999.0000;+99.0000; 97534;11 12 36.0;-60 19 03; 4.60; 0.55;  A6Iae
168.2371;-49.7364;999.0000;+99.0000; 97550;11 12 56.9;-49 44 11; 6.11; 1.06;  G8II-III
168.3112;-44.3722;999.0000;+99.0000; 97576;11 13 14.7;-44 22 20; 5.80; 1.66;  K5-M0III
168.1883;-64.1697;999.0000;+99.0000; 97583;11 12 45.2;-64 10 11; 5.23;-0.06;  B8V
168.4400; -0.0697;999.0000;+99.0000; 97585;11 13 45.6;-00 04 11; 5.42;-0.03;  A0V
168.5271;+20.5236;999.0000;+99.0000; 97603;11 14 06.5;+20 31 25; 2.56; 0.12;  A4V
168.5075; +8.0606;999.0000;+99.0000; 97605;11 14 01.8;+08 03 38; 5.79; 1.12;  K3III
168.5600;+15.4294;999.0000;+99.0000; 97633;11 14 14.4;+15 25 46; 3.34;-0.01;  A2V
168.4137;-53.2317;999.0000;+99.0000; 97651;11 13 39.3;-53 13 54; 5.76; 1.32;  K2III
168.3783;-59.6194;999.0000;+99.0000; 97670;11 13 30.8;-59 37 10; 5.74;-0.10;  B1.5V
168.8008;+23.0956;999.0000;+99.0000; 97778;11 15 12.2;+23 05 44; 4.63; 1.66;  M3IIb
169.0167;+52.7731;999.0000;+99.0000; 97855;11 16 04.0;+52 46 23; 6.50; 0.43;  F6V+F9V
168.7250;-43.7342;999.0000;+99.0000; 97866;11 14 54.0;-43 44 03; 6.21; 1.61;  K4III
168.9662;+13.3075;999.0000;+99.0000; 97907;11 15 51.9;+13 18 27; 5.32; 1.20;  K3III
168.9908;+12.8447;999.0000;+99.0000; 97937;11 15 57.8;+12 50 41; 6.67; 0.27;  A9Vp
169.1746;+49.4764;999.0000;+99.0000; 97989;11 16 41.9;+49 28 35; 5.88; 1.08; gK0
169.1654; -3.6517;999.0000;+99.0000; 98058;11 16 39.7;-03 39 06; 4.47; 0.21;  A7IVn
169.2425; -7.1347;999.0000;+99.0000; 98088;11 16 58.2;-07 08 05; 6.14; 0.20;  A8IVpeSrCrSi
169.1154;-45.8800;999.0000;+99.0000; 98096;11 16 27.7;-45 52 48; 6.31; 0.40;  F3V
169.3225; +2.0106;999.0000;+99.0000; 98118;11 17 17.4;+02 00 38; 5.18; 1.52;  M0III-IIIb
169.2992;-38.0144;999.0000;+99.0000; 98161;11 17 11.8;-38 00 52; 6.27; 0.10;  A3Vn
169.4133;-34.7372;999.0000;+99.0000; 98221;11 17 39.2;-34 44 14; 6.45; 0.40;  F4V
169.5454;+31.5292;999.0000;+99.0000; 98230;11 18 10.9;+31 31 45; 4.87;     ;  G0V
169.5458;+31.5292;999.0000;+99.0000; 98231;11 18 11.0;+31 31 45; 4.41; 0.59;  G0V
169.4292;-36.5344;999.0000;+99.0000; 98233;11 17 43.0;-36 32 04; 6.68; 0.98;  G8-K0III
169.6196;+33.0942;999.0000;+99.0000; 98262;11 18 28.7;+33 05 39; 3.48; 1.40;  K3-IIIBa0.3
169.5875;+11.9847;999.0000;+99.0000; 98280;11 18 21.0;+11 59 05; 6.66; 0.07;  A2V
169.3292;-67.8236;999.0000;+99.0000; 98292;11 17 19.0;-67 49 25; 6.06; 1.76;  M2III
169.7829;+38.1856;999.0000;+99.0000; 98353;11 19 07.9;+38 11 08; 4.78; 0.12;  A1Vp:
169.7292; +1.6506;999.0000;+99.0000; 98366;11 18 55.0;+01 39 02; 5.91; 1.04; gK0
169.8354;-14.7786;999.0000;+99.0000; 98430;11 19 20.5;-14 46 43; 3.56; 1.12;  G8III-IV
170.2242;+67.1006;999.0000;+99.0000; 98499;11 20 53.8;+67 06 02; 6.21; 1.01;  G8
169.8187;-64.5825;999.0000;+99.0000; 98560;11 19 16.5;-64 34 57; 5.99; 0.46;  F6IV
169.6429;-79.6686;999.0000;+99.0000; 98617;11 18 34.3;-79 40 07; 6.35; 0.26;  A8IIIm:
170.2842; +6.0294;999.0000;+99.0000; 98664;11 21 08.2;+06 01 46; 4.05;-0.06;  B9.5V s
169.9012;-75.1425;999.0000;+99.0000; 98672;11 19 36.3;-75 08 33; 6.27;-0.03;  B9.5-A0V
170.4554;+57.0750;999.0000;+99.0000; 98673;11 21 49.3;+57 04 30; 6.43; 0.15;  A7Vn
170.0162;-71.9944;999.0000;+99.0000; 98695;11 20 03.9;-71 59 40; 6.41; 0.05;  B4V
170.2517;-54.4911;999.0000;+99.0000; 98718;11 21 00.4;-54 29 28; 3.89;-0.15;  B5Vn
170.7137;+64.3306;999.0000;+99.0000; 98772;11 22 51.3;+64 19 50; 6.02; 0.09;  A1Vnp
170.7067;+43.4828;999.0000;+99.0000; 98839;11 22 49.6;+43 28 58; 4.99; 0.99;  G7.5IIIa:Ba0.3
170.5962;-44.6458;999.0000;+99.0000; 98892;11 22 23.1;-44 38 45; 6.12; 0.92;  G8III
170.8250; +0.1317;999.0000;+99.0000; 98960;11 23 18.0;+00 07 54; 6.05; 1.46;  K3
170.8413;-18.7800;999.0000;+99.0000; 98991;11 23 21.9;-18 46 48; 5.09; 0.42;  F5III
170.8029;-36.1647;999.0000;+99.0000; 98993;11 23 12.7;-36 09 53; 5.00; 1.46;  K6III
170.4879;-77.6083;999.0000;+99.0000; 99015;11 21 57.1;-77 36 30; 6.43; 0.20;  A5III-IV
170.7837;-56.7794;999.0000;+99.0000; 99022;11 23 08.1;-56 46 46; 5.79; 0.01;  A4:pe
170.9813;+10.5292;999.0000;+99.0000; 99028;11 23 55.5;+10 31 45; 3.94; 0.41;  F4IV
171.0096; +1.4078;999.0000;+99.0000; 99055;11 24 02.3;+01 24 28; 5.39; 0.94;  G8IIICN-0.5
170.8408;-64.9550;999.0000;+99.0000; 99104;11 23 21.8;-64 57 18; 5.11;-0.08;  B5V
171.1525;-10.8594;999.0000;+99.0000; 99167;11 24 36.6;-10 51 34; 4.83; 1.56;  K5III
171.0921;-42.6692;999.0000;+99.0000; 99171;11 24 22.1;-42 40 09; 6.12;-0.18;  B2IV-V
171.2454;+11.4303;999.0000;+99.0000; 99196;11 24 58.9;+11 25 49; 5.80; 1.38;  K4III
171.2204;-17.6839;999.0000;+99.0000; 99211;11 24 52.9;-17 41 02; 4.08; 0.21;  A5V
171.0463;-72.2567;999.0000;+99.0000; 99264;11 24 11.1;-72 15 24; 5.59; 0.06;  B2IV-V
171.4879;+55.8506;999.0000;+99.0000; 99283;11 25 57.1;+55 51 02; 5.75;     ;  K0III
171.4017;+16.4564;999.0000;+99.0000; 99285;11 25 36.4;+16 27 23; 5.57; 0.36;  F2V
171.3725;-36.0631;999.0000;+99.0000; 99322;11 25 29.4;-36 03 47; 5.22; 0.99;  K0III
171.4583; +3.8600;999.0000;+99.0000; 99329;11 25 50.0;+03 51 36; 6.37; 0.33;  F3IV
171.3879;-37.7478;999.0000;+99.0000; 99333;11 25 33.1;-37 44 52; 5.89; 1.54;  M3III
171.6062;+33.4506;999.0000;+99.0000; 99373;11 26 25.5;+33 27 02; 6.32; 0.43;  F7V
171.4300;-63.9728;999.0000;+99.0000; 99453;11 25 43.2;-63 58 22; 5.17; 0.50;  F7V
171.6887; +3.0131;999.0000;+99.0000; 99491;11 26 45.3;+03 00 47; 6.50; 0.79;  K0IV
171.6471;-61.1153;999.0000;+99.0000; 99556;11 26 35.3;-61 06 55; 5.30;-0.08;  B3IV
171.7896;-12.3567;999.0000;+99.0000; 99564;11 27 09.5;-12 21 24; 5.94; 0.49;  F4III-IV
171.6971;-53.1600;999.0000;+99.0000; 99574;11 26 47.3;-53 09 36; 5.81; 0.52;  K0III+A2-3V
171.9842; +2.8561;999.0000;+99.0000; 99648;11 27 56.2;+02 51 22; 4.95; 1.00;  G7.5IIIa
171.9737; -1.7000;999.0000;+99.0000; 99651;11 27 53.7;-01 42 00; 6.25; 1.04; gK2
171.9937;-35.3286;999.0000;+99.0000; 99712;11 27 58.5;-35 19 43; 6.45;     ;  K5III:
172.2692;+61.7783;999.0000;+99.0000; 99747;11 29 04.6;+61 46 42; 5.83; 0.36;  F5Va vw
172.2675;+39.3369;999.0000;+99.0000; 99787;11 29 04.2;+39 20 13; 5.31; 0.01;  A2V
172.1462;-42.6742;999.0000;+99.0000; 99803;11 28 35.1;-42 40 27; 5.08;-0.03;  B9V
172.4313;+56.7375;999.0000;+99.0000; 99859;11 29 43.5;+56 44 15; 6.28; 0.15;  A4m
172.0758;-72.4744;999.0000;+99.0000; 99872;11 28 18.2;-72 28 28; 6.09; 0.16;  B3V
172.4246;+15.4133;999.0000;+99.0000; 99902;11 29 41.9;+15 24 48; 5.74; 1.32; gK4
172.5538;+54.3617;999.0000;+99.0000; 99913;11 30 12.9;+54 21 42; 6.41;     ;  K0III
172.4108;-24.4633;999.0000;+99.0000; 99922;11 29 38.6;-24 27 48; 5.76; 0.07;  A0V
172.9600;+81.1272;999.0000;+99.0000; 99945;11 31 50.4;+81 07 38; 6.15; 0.24;  A2m
172.6042;+46.6575;999.0000;+99.0000; 99967;11 30 25.0;+46 39 27; 6.35; 1.27;  K2IIICN-1
172.6296;+43.1733;999.0000;+99.0000; 99984;11 30 31.1;+43 10 24; 5.94; 0.49;  F4V
172.5787; -3.0036;999.0000;+99.0000; 99998;11 30 18.9;-03 00 13; 4.77; 1.54;  K3.5IIIFe-1
172.6208;+18.4097;999.0000;+99.0000;100006;11 30 29.0;+18 24 35; 5.52; 1.05;  K0III
172.8508;+69.3311;999.0000;+99.0000;100029;11 31 24.2;+69 19 52; 3.84; 1.62;  M0IIICa-1
172.7204;+47.9292;999.0000;+99.0000;100030;11 30 52.9;+47 55 45; 6.42; 0.88;  G9IV
172.7925;+48.7892;999.0000;+99.0000;100055;11 31 10.2;+48 47 21; 6.56; 0.93;  G9III
172.9371;+14.3644;999.0000;+99.0000;100180;11 31 44.9;+14 21 52; 6.20; 0.57;  G0V
172.8125;-61.2783;999.0000;+99.0000;100198;11 31 15.0;-61 16 42; 6.38; 0.52;  A3Iae
173.0867;+61.0825;999.0000;+99.0000;100203;11 32 20.8;+61 04 57; 5.48; 0.50;  F8V
172.9483;-20.7767;999.0000;+99.0000;100219;11 31 47.6;-20 46 36; 6.24; 0.54;  F7IV
172.9421;-59.4422;999.0000;+99.0000;100261;11 31 46.1;-59 26 32; 5.13; 1.08;  G30-Ia
172.9533;-59.5158;999.0000;+99.0000;100262;11 31 48.8;-59 30 57; 5.15; 0.49;  A2Ia
173.0671;-29.2633;999.0000;+99.0000;100286;11 32 16.1;-29 15 48; 5.81; 0.53;  F8V
173.0679;-29.2611;999.0000;+99.0000;100287;11 32 16.3;-29 15 40; 5.64; 0.53;  F8V
173.0971;-26.7467;999.0000;+99.0000;100307;11 32 23.3;-26 44 48; 6.16; 1.66;  M1III
173.1979; -7.8275;999.0000;+99.0000;100343;11 32 47.5;-07 49 39; 5.95; 1.38;  K4III
173.2004;-40.4364;999.0000;+99.0000;100378;11 32 48.1;-40 26 11; 5.64; 1.58;  K6III
173.0829;-66.9622;999.0000;+99.0000;100382;11 32 19.9;-66 57 44; 5.90; 1.13;  K1IIICNIb-II
173.2254;-31.0872;999.0000;+99.0000;100393;11 32 54.1;-31 05 14; 5.04; 1.58;  M2IIIb
173.2504;-31.8578;999.0000;+99.0000;100407;11 33 00.1;-31 51 28; 3.54; 0.94;  G7III
173.3108;-16.2806;999.0000;+99.0000;100418;11 33 14.6;-16 16 50; 6.05; 0.60;  F9III
173.4846;+36.8156;999.0000;+99.0000;100470;11 33 56.3;+36 48 56; 6.40; 1.05;  K0III
173.4054;-40.5869;999.0000;+99.0000;100493;11 33 37.3;-40 35 13; 5.39; 0.12;  A2IV-V
173.5417;+11.0236;999.0000;+99.0000;100518;11 34 10.0;+11 01 25; 6.55; 0.18;  A2m
173.5917; +3.0600;999.0000;+99.0000;100563;11 34 22.0;+03 03 36; 5.77; 0.46;  F5V
173.6771;+16.7969;999.0000;+99.0000;100600;11 34 42.5;+16 47 49; 5.95;-0.16;  B4V
173.7704;+54.7853;999.0000;+99.0000;100615;11 35 04.9;+54 47 07; 5.63; 1.02;  K0III
173.6229;-32.8314;999.0000;+99.0000;100623;11 34 29.5;-32 49 53; 5.98; 0.81;  K0V
173.7658;+20.4414;999.0000;+99.0000;100655;11 35 03.8;+20 26 29; 6.45; 1.01;  G9III
173.6904;-54.2642;999.0000;+99.0000;100673;11 34 45.7;-54 15 51; 4.62;-0.08;  B9Ve
174.0117;+69.3228;999.0000;+99.0000;100696;11 36 02.8;+69 19 22; 5.20; 1.01;  K0III
173.7367;-49.1367;999.0000;+99.0000;100708;11 34 56.8;-49 08 12; 5.50; 1.04;  K1III-IV
173.8050;-47.3725;999.0000;+99.0000;100733;11 35 13.2;-47 22 21; 5.71; 1.66;  M3III
173.9308;+10.9111;999.0000;+99.0000;100740;11 35 43.4;+10 54 40; 6.56; 0.13;  A4Vn
174.0746;+27.7811;999.0000;+99.0000;100808;11 36 17.9;+27 46 52; 5.80; 0.23;  F0V
173.9817;-47.6417;999.0000;+99.0000;100825;11 35 55.6;-47 38 30; 5.25; 0.25;  A7m
173.9450;-63.0197;999.0000;+99.0000;100841;11 35 46.8;-63 01 11; 3.13;-0.04;  B9III
174.1704; -9.8022;999.0000;+99.0000;100889;11 36 40.9;-09 48 08; 4.70;-0.08;  B9.5Vn
174.1458;-33.5700;999.0000;+99.0000;100893;11 36 35.0;-33 34 12; 5.74; 1.02;  K0III
174.1700;-37.2378;999.0000;+99.0000;100911;11 36 40.8;-37 14 16; 6.31; 0.06;  A1V
174.2371; -0.8239;999.0000;+99.0000;100920;11 36 56.9;-00 49 26; 4.30; 1.00;  G8.5IIICN-0.5
174.0929;-61.0522;999.0000;+99.0000;100929;11 36 22.3;-61 03 08; 5.83;-0.09;  B2.5IV
174.2550;-32.9881;999.0000;+99.0000;100953;11 37 01.2;-32 59 17; 6.29; 0.46;  F6III-IV
174.4708;+50.6183;999.0000;+99.0000;101013;11 37 53.0;+50 37 06; 6.14; 1.07;  G9III:Ba2.5
174.2525;-61.2833;999.0000;+99.0000;101021;11 37 00.6;-61 17 00; 5.15; 1.12;  K0III
174.3912;-47.7472;999.0000;+99.0000;101067;11 37 33.9;-47 44 50; 5.44; 1.24;  K2III
174.5858;+43.6256;999.0000;+99.0000;101107;11 38 20.6;+43 37 32; 5.59; 0.33;  F2II-III
174.5408; +8.8842;999.0000;+99.0000;101112;11 38 09.8;+08 53 03; 6.17; 1.08;  K1III
174.3150;-75.8967;999.0000;+99.0000;101132;11 37 15.6;-75 53 48; 5.65; 0.35;  F1III
174.6396;+46.8342;999.0000;+99.0000;101133;11 38 33.5;+46 50 03; 6.10; 0.38;  F5III s
174.7050;+64.3469;999.0000;+99.0000;101150;11 38 49.2;+64 20 49; 6.46;     ;  A5IV
174.6342;+33.6256;999.0000;+99.0000;101151;11 38 32.2;+33 37 32; 6.27; 1.32;  K2III
174.6150; +8.1342;999.0000;+99.0000;101153;11 38 27.6;+08 08 03; 5.36; 1.57;  M4III
174.6004; -2.4361;999.0000;+99.0000;101154;11 38 24.1;-02 26 10; 6.22; 1.12;  G9III
174.4517;-67.6203;999.0000;+99.0000;101162;11 37 48.4;-67 37 13; 5.96; 1.02;  K0III
174.6871;+45.1086;999.0000;+99.0000;101177;11 38 44.9;+45 06 31; 6.44; 0.56;  G0V
174.5304;-61.8264;999.0000;+99.0000;101189;11 38 07.3;-61 49 35; 5.15;-0.02;  ApHgMn
174.6671;-13.2019;999.0000;+99.0000;101198;11 38 40.1;-13 12 07; 5.48; 0.52;  F7V
174.7517;-24.7211;999.0000;+99.0000;101259;11 39 00.4;-24 43 16; 6.42; 0.82;  G5
174.9629;-14.4686;999.0000;+99.0000;101369;11 39 51.1;-14 28 07; 6.21; 0.00;  A1V
174.9600;-16.6203;999.0000;+99.0000;101370;11 39 50.4;-16 37 13; 6.19; 1.62;  M3.5IIIBa0.2Ca1
174.8725;-65.3978;999.0000;+99.0000;101379;11 39 29.4;-65 23 52; 5.17; 0.80;  G2III+A0V
175.1142;+57.9706;999.0000;+99.0000;101391;11 40 27.4;+57 58 14; 6.37;-0.12;  B9pHgMn:
175.0533;-34.7447;999.0000;+99.0000;101431;11 40 12.8;-34 44 41; 4.70;-0.07;  B9V
175.1962;+21.3528;999.0000;+99.0000;101484;11 40 47.1;+21 21 10; 5.26; 0.98;  K1III
175.2625;+34.2017;999.0000;+99.0000;101501;11 41 03.0;+34 12 06; 5.33; 0.72;  G8V
175.1775;-53.9686;999.0000;+99.0000;101541;11 40 42.6;-53 58 07; 5.96; 1.66;  M1III
175.2850;-29.1964;999.0000;+99.0000;101563;11 41 08.4;-29 11 47; 6.44; 0.66;  G0V
175.2233;-62.0900;999.0000;+99.0000;101570;11 40 53.6;-62 05 24; 4.94; 1.15;  G3Ib
175.4317;+55.1725;999.0000;+99.0000;101604;11 41 43.6;+55 10 21; 6.27; 1.49;  K5
175.3929;+31.7461;999.0000;+99.0000;101606;11 41 34.3;+31 44 46; 5.73; 0.43;  F4V
175.3325;-43.0958;999.0000;+99.0000;101615;11 41 19.8;-43 05 45; 5.55;     ;  A0V
