Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	2.52E+01	"[2.460e+1,2.590e+1]"	7.88E-04	positron	3.90E-05	1.90E-05	2.00E-05	0	7.49E-04	8.27E-04
AMS02	2.66E+01	"[2.590e+1,2.720e+1]"	6.63E-04	positron	3.40E-05	1.70E-05	1.70E-05	0	6.29E-04	6.97E-04
AMS02	2.80E+01	"[2.720e+1,2.870e+1]"	5.94E-04	positron	3.10E-05	1.60E-05	1.50E-05	0	5.63E-04	6.25E-04
AMS02	2.94E+01	"[2.870e+1,3.020e+1]"	5.20E-04	positron	2.70E-05	1.40E-05	1.30E-05	0	4.93E-04	5.47E-04
AMS02	3.10E+01	"[3.020e+1,3.180e+1]"	4.33E-04	positron	2.30E-05	1.20E-05	1.10E-05	0	4.10E-04	4.56E-04
AMS02	3.27E+01	"[3.180e+1,3.350e+1]"	3.76E-04	positron	2.10E-05	1.10E-05	1.00E-05	0	3.55E-04	3.97E-04
AMS02	3.44E+01	"[3.350e+1,3.540e+1]"	3.20E-04	positron	1.80E-05	1.00E-05	8.00E-06	0	3.02E-04	3.38E-04
AMS02	3.63E+01	"[3.540e+1,3.730e+1]"	2.69E-04	positron	1.60E-05	9.00E-06	7.00E-06	0	2.53E-04	2.85E-04
AMS02	3.83E+01	"[3.730e+1,3.940e+1]"	2.43E-04	positron	1.50E-05	8.00E-06	7.00E-06	0	2.28E-04	2.58E-04
AMS02	4.05E+01	"[3.940e+1,4.160e+1]"	2.11E-04	positron	1.30E-05	7.00E-06	6.00E-06	0	1.98E-04	2.24E-04
AMS02	4.28E+01	"[4.160e+1,4.400e+1]"	1.70E-04	positron	1.10E-05	6.00E-06	5.00E-06	0	1.59E-04	1.81E-04
AMS02	4.53E+01	"[4.400e+1,4.660e+1]"	1.56E-04	positron	1.00E-05	6.00E-06	4.00E-06	0	1.46E-04	1.66E-04
AMS02	4.79E+01	"[4.660e+1,4.930e+1]"	1.22E-04	positron	8.00E-06	5.00E-06	3.00E-06	0	1.14E-04	1.30E-04
AMS02	5.08E+01	"[4.930e+1,5.230e+1]"	1.08E-04	positron	8.00E-06	5.00E-06	3.00E-06	0	1.00E-04	1.16E-04
AMS02	5.39E+01	"[5.230e+1,5.560e+1]"	9.37E-05	positron	6.90E-06	4.20E-06	2.70E-06	0	8.68E-05	1.01E-04
AMS02	5.73E+01	"[5.560e+1,5.910e+1]"	7.55E-05	positron	5.80E-06	3.60E-06	2.20E-06	0	6.97E-05	8.13E-05
AMS02	6.10E+01	"[5.910e+1,6.300e+1]"	6.53E-05	positron	5.10E-06	3.20E-06	1.90E-06	0	6.02E-05	7.04E-05
AMS02	6.51E+01	"[6.300e+1,6.730e+1]"	5.41E-05	positron	4.40E-06	2.80E-06	1.60E-06	0	4.97E-05	5.85E-05
AMS02	6.96E+01	"[6.730e+1,7.200e+1]"	4.78E-05	positron	3.90E-06	2.50E-06	1.40E-06	0	4.39E-05	5.17E-05
AMS02	7.46E+01	"[7.200e+1,7.740e+1]"	3.89E-05	positron	3.30E-06	2.10E-06	1.20E-06	0	3.56E-05	4.22E-05
AMS02	8.03E+01	"[7.740e+1,8.340e+1]"	2.88E-05	positron	2.60E-06	1.70E-06	9.00E-07	0	2.62E-05	3.14E-05
AMS02	8.67E+01	"[8.340e+1,9.020e+1]"	2.76E-05	positron	2.50E-06	1.60E-06	9.00E-07	0	2.51E-05	3.01E-05
AMS02	9.40E+01	"[9.020e+1,9.810e+1]"	2.08E-05	positron	2.00E-06	1.30E-06	7.00E-07	0	1.88E-05	2.28E-05
AMS02	1.03E+02	"[9.810e+1,1.070e+2]"	1.53E-05	positron	1.60E-06	1.00E-06	6.00E-07	0	1.37E-05	1.69E-05
AMS02	1.13E+02	"[1.070e+2,1.180e+2]"	1.15E-05	positron	1.20E-06	8.00E-07	4.00E-07	0	1.03E-05	1.27E-05
